iter	Passed	Remaining
0	285	285608
1	305	152506
2	319	106314
3	336	83764
4	417	83148
5	441	73168
6	456	64805
7	501	62172
8	545	60041
9	622	61643
10	636	57260
11	651	53661
12	730	55460
13	798	56269
14	999	65625
15	1057	65026
16	1096	63380
17	1415	77204
18	1701	87845
19	1861	91221
20	1911	89108
21	1955	86932
22	1971	83760
23	2004	81513
24	2144	83632
25	2383	89282
26	2607	93968
27	2829	98208
28	2986	99989
29	3241	104795
30	3512	109780
31	3765	113896
32	4022	117869
33	4244	120585
34	4374	120621
35	4388	117525
36	4396	114415
37	4403	111479
38	4480	110402
39	4671	112123
40	4864	113774
41	4880	111321
42	4893	108903
43	4954	107649
44	5176	109847
45	5199	107833
46	5275	106969
47	5288	104896
48	5354	103916
49	5782	109861
50	5829	108473
51	5852	106691
52	5861	104735
53	5920	103716
54	6140	105501
55	6530	110087
56	6549	108351
57	6564	106619
58	6581	104966
59	6645	104119
60	6661	102546
61	6678	101038
62	6695	99582
63	6746	98667
64	6951	99999
65	6986	98873
66	7028	97870
67	7303	100100
68	7487	101033
69	7501	99661
70	7516	98344
71	7617	98184
72	7920	100575
73	8085	101184
74	8159	100639
75	8183	99490
76	8194	98232
77	8240	97404
78	8277	96500
79	8304	95504
80	8333	94547
81	8921	99880
82	8930	98663
83	8937	97458
84	8946	96301
85	9035	96024
86	9043	94909
87	9050	93799
88	9059	92729
89	9066	91670
90	9208	91981
91	9220	91001
92	9233	90048
93	9331	89939
94	9350	89073
95	9367	88207
96	9400	87508
97	9448	86968
98	9509	86542
99	9701	87317
100	9709	86424
101	9717	85548
102	9728	84722
103	10115	87147
104	10354	88255
105	10622	89590
106	10646	88849
107	10672	88149
108	10679	87299
109	10686	86463
110	10795	86461
111	10828	85855
112	11355	89136
113	11576	89970
114	11844	91151
115	12115	92330
116	12551	94724
117	12653	94577
118	12762	94485
119	12917	94730
120	13122	95325
121	13328	95924
122	13552	96632
123	14202	100330
124	14265	99857
125	14488	100496
126	14675	100880
127	14801	100835
128	15066	101729
129	15304	102425
130	15828	105001
131	15970	105016
132	16237	105846
133	16458	106368
134	16714	107098
135	16880	107239
136	16887	106376
137	16909	105625
138	16916	104786
139	16924	103962
140	17048	103865
141	17289	104465
142	17807	106720
143	17816	105906
144	18098	106715
145	18318	107152
146	18589	107872
147	18859	108572
148	19130	109260
149	19353	109672
150	19574	110059
151	19812	110533
152	19983	110628
153	19992	109829
154	20009	109085
155	20016	108294
156	20097	107912
157	20239	107858
158	20444	108135
159	21233	111477
160	21320	111103
161	21378	110589
162	21403	109905
163	21499	109596
164	21507	108840
165	21515	108095
166	21522	107356
167	21530	106626
168	21664	106528
169	21822	106544
170	22061	106952
171	22987	110658
172	23103	110442
173	23112	109716
174	23137	109074
175	23148	108376
176	23169	107729
177	23179	107044
178	23195	106389
179	23240	105873
180	23351	105661
181	23431	105312
182	23701	105815
183	23985	106372
184	24225	106724
185	24416	106854
186	24498	106508
187	24524	105924
188	24532	105270
189	24551	104667
190	24610	104242
191	24843	104548
192	25048	104737
193	25304	105132
194	25560	105516
195	25813	105889
196	25907	105602
197	26163	105975
198	27166	109350
199	27404	109619
200	27660	109955
201	27882	110149
202	28136	110467
203	28405	110838
204	28657	111135
205	28665	110486
206	28673	109845
207	28681	109209
208	28689	108579
209	28696	107954
